Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,segment
12346,235,12,2281.0723529411766,3,5,5,355,Loyal
12347,39,6,21.098358974358977,4,4,4,444,Champions
12348,158,4,30.875555555555554,3,3,5,335,Potential Loyalists
12349,317,2,21.023636363636363,2,2,4,224,Hibernating
12350,219,1,18.4,3,1,3,313,Needs Attention
12351,285,1,14.33,2,1,2,212,Hibernating
12352,171,6,19.319803921568628,3,4,4,344,Loyal
12353,113,2,16.948333333333334,3,2,3,323,Potential Loyalists
12354,142,1,18.610344827586207,3,1,3,313,Needs Attention
12355,124,2,27.074571428571428,3,2,5,325,Potential Loyalists
12356,155,5,44.3095,3,4,5,345,Loyal
12357,298,1,68.4755487804878,2,1,5,215,Hibernating
12358,60,4,42.99808823529412,4,3,5,435,Potential Loyalists
12359,99,9,20.34482213438735,4,5,4,454,Champions
12360,22,5,17.0196835443038,5,4,3,543,Loyal
12361,197,4,17.629310344827587,3,3,3,333,Potential Loyalists
12362,30,4,16.64142857142857,5,3,3,533,Potential Loyalists
12363,19,2,24.0,5,2,4,524,Potential Loyalists
12364,22,1,18.350588235294115,5,1,3,513,New Customers
12365,201,1,15.27095238095238,3,1,2,312,Needs Attention
12366,543,1,166.74666666666667,1,1,5,115,Hibernating
12368,537,1,50.98333333333333,1,1,5,115,Hibernating
12369,323,3,16.790555555555557,2,3,3,233,At Risk
12370,184,6,18.947235294117647,3,4,4,344,Loyal
12371,319,3,18.014059405940596,2,3,3,233,At Risk
12372,122,2,23.45948717948718,3,2,4,324,Potential Loyalists
12373,221,3,19.32604166666667,3,3,4,334,Potential Loyalists
12374,331,2,41.76102040816326,2,2,5,225,Hibernating
12375,8,1,19.03,5,1,4,514,New Customers
12376,299,2,34.83181818181818,2,2,5,225,Hibernating
12377,225,4,21.775466666666667,3,3,4,334,Potential Loyalists
12378,39,2,17.806946308724832,4,2,3,423,Potential Loyalists
12379,79,3,20.128196721311475,4,3,4,434,Potential Loyalists
12380,95,5,26.499950980392157,4,4,4,444,Champions
12381,29,1,16.864590163934427,5,1,3,513,New Customers
12383,94,5,18.69252525252525,4,4,4,444,Champions
12384,31,1,16.36076923076923,5,1,3,513,New Customers
12385,289,1,29.821538461538463,2,1,5,215,Hibernating
12386,247,2,36.71111111111111,2,2,5,225,Hibernating
12387,324,1,15.993333333333332,2,1,3,213,Hibernating
12388,58,6,24.041293103448275,4,4,4,444,Champions
12389,312,3,29.251632653061222,2,3,5,235,At Risk
12391,374,5,11.510280898876404,1,4,2,142,Loyal
12392,501,1,33.53571428571429,1,1,5,115,Hibernating
12393,155,5,22.901829268292683,3,4,4,344,Loyal
12394,127,1,18.146666666666665,3,1,3,313,Needs Attention
12395,22,11,20.250051813471504,5,5,4,554,Champions
12396,584,1,14.329692307692307,1,1,2,112,Hibernating
12397,45,1,17.35442857142857,4,1,3,413,New Customers
12399,29,7,17.83909090909091,5,4,3,543,Loyal
12400,324,1,18.65909090909091,2,1,3,213,Hibernating
12401,213,1,16.86,3,1,3,313,Needs Attention
12402,233,6,17.955714285714286,3,4,3,343,Loyal
12403,431,1,147.91500000000002,1,1,5,115,Hibernating
12405,58,1,26.233773584905663,4,1,4,414,New Customers
12406,93,4,41.784636363636366,4,3,5,435,Potential Loyalists
12407,43,4,21.990000000000002,4,3,4,434,Potential Loyalists
12408,8,7,25.529407407407405,5,4,4,544,Champions
12409,92,5,84.88055555555556,4,4,5,445,Champions
12410,218,3,20.36078947368421,3,3,4,334,Potential Loyalists
12411,319,1,15.768181818181818,2,1,3,213,Hibernating
12412,47,5,20.367477477477475,4,4,4,444,Champions
12413,146,3,18.443589743589744,3,3,3,333,Potential Loyalists
12414,127,4,24.200454545454544,3,3,4,334,Potential Loyalists
12415,9,18,150.1570879801735,5,5,5,555,Champions
12416,566,1,18.414545454545454,1,1,3,113,Hibernating
12417,16,18,18.01103125,5,5,3,553,Loyal
12418,22,4,19.815686274509805,5,3,4,534,Potential Loyalists
12419,295,2,17.000434782608696,2,2,3,223,Hibernating
12421,24,5,14.19843137254902,5,4,2,542,Loyal
12422,5,13,22.520426829268292,5,5,4,554,Champions
12423,10,9,16.30912162162162,5,5,3,553,Loyal
12424,72,4,36.30467391304348,4,3,5,435,Potential Loyalists
12425,358,1,17.53109090909091,1,1,3,113,Hibernating
12426,104,2,17.470259740259742,4,2,3,423,Potential Loyalists
12427,281,1,30.35,2,1,5,215,Hibernating
12428,30,7,22.25978021978022,5,4,4,544,Champions
12429,82,7,44.99579310344828,4,4,5,445,Champions
12431,29,23,26.042507042253522,5,5,4,554,Champions
12432,82,2,41.737808219178085,4,2,5,425,Potential Loyalists
12433,1,6,26.460350194552532,5,4,4,544,Champions
12434,170,2,16.209444444444443,3,2,3,323,Potential Loyalists
12435,177,5,106.05294736842106,3,4,5,345,Loyal
12436,9,1,28.60066666666667,5,1,5,515,New Customers
12437,8,32,22.625321888412017,5,5,4,554,Champions
